dados,envio_s,envio_us,chegada,envio,delay_ms,jitter_ms
1073420972,1616097108,459751,1616097108479,1616097108459,20,0
1073420972,1616097108,711751,1616097108730,1616097108711,19,1
1073420972,1616097108,963755,1616097108983,1616097108963,20,1
1073420972,1616097109,216751,1616097109235,1616097109216,19,1
1073420972,1616097109,468751,1616097109487,1616097109468,19,0
1073420972,1616097109,721751,1616097109740,1616097109721,19,0
1073420972,1616097109,973751,1616097109992,1616097109973,19,0
1073420972,1616097110,225751,1616097110246,1616097110225,21,2
1073420972,1616097110,477751,1616097110496,1616097110477,19,2
1073420972,1616097110,729751,1616097110749,1616097110729,20,1
1073420972,1616097110,981751,161609711100,1616097110981,1454487399881,1454487399861
1073420972,1616097111,233751,1616097111252,1616097111233,19,1454487399862
1073420972,1616097111,485751,1616097111504,1616097111485,19,0
1073420972,1616097111,737751,1616097111757,1616097111737,20,1
1073420972,1616097111,989751,1616097112008,1616097111989,19,1
1073420972,1616097112,241751,1616097112260,1616097112241,19,0
1073420972,1616097112,493751,1616097112513,1616097112493,20,1
1073420972,1616097112,745751,1616097112764,1616097112745,19,1
1073420972,1616097112,998751,1616097113017,1616097112998,19,0
1073420972,1616097113,250751,1616097113269,1616097113250,19,0
1073420972,1616097113,502751,1616097113522,1616097113502,20,1
1073420972,1616097113,754751,1616097113774,1616097113754,20,0
1073420972,1616097114,6751,1616097114024,1616097114006,18,2
1073420972,1616097114,258751,1616097114277,1616097114258,19,1
1073420972,1616097114,510751,1616097114529,1616097114510,19,0
1073420972,1616097114,762751,1616097114781,1616097114762,19,0
1073420972,1616097115,14751,1616097115035,1616097115014,21,2
1073420972,1616097115,266751,1616097115285,1616097115266,19,2
1073420972,1616097115,518751,1616097115537,1616097115518,19,0
1073420972,1616097115,770751,1616097115791,1616097115770,21,2
1073420972,1616097116,22751,1616097116041,1616097116022,19,2
1073420972,1616097116,275751,1616097116294,1616097116275,19,0
1073420972,1616097116,527751,1616097116547,1616097116527,20,1
1073420972,1616097116,779751,1616097116798,1616097116779,19,1
1073420972,1616097117,31751,1616097117050,1616097117031,19,0
1073420972,1616097117,283751,1616097117303,1616097117283,20,1
1073420972,1616097117,535751,1616097117555,1616097117535,20,0
1073420972,1616097117,787751,1616097117806,1616097117787,19,1
1073420972,1616097118,39750,1616097118058,1616097118039,19,0
1073420972,1616097118,291750,1616097118311,1616097118291,20,1
1073420972,1616097118,543750,1616097118562,1616097118543,19,1
1073420972,1616097118,795750,1616097118814,1616097118795,19,0
1073420972,1616097119,47750,1616097119067,1616097119047,20,1
1073420972,1616097119,299750,1616097119325,1616097119299,26,6
1073420972,1616097119,552750,1616097119572,1616097119552,20,6
1073420972,1616097119,804750,1616097119823,1616097119804,19,1
1073420972,1616097120,56750,1616097120077,1616097120056,21,2
1073420972,1616097120,308750,1616097120329,1616097120308,21,0
1073420972,1616097120,560750,1616097120579,1616097120560,19,2
1073420972,1616097120,812750,1616097120836,1616097120812,24,5
1073420972,1616097121,64750,1616097121083,1616097121064,19,5
1073420972,1616097121,316750,1616097121335,1616097121316,19,0
1073420972,1616097121,568750,1616097121589,1616097121568,21,2
1073420972,1616097121,820750,1616097121840,1616097121820,20,1
1073420972,1616097122,72750,1616097122091,1616097122072,19,1
1073420972,1616097122,324750,1616097122342,1616097122324,18,1
1073420972,1616097122,575750,1616097122594,1616097122575,19,1
1073420972,1616097122,828750,1616097122847,1616097122828,19,0
1073420972,1616097123,80750,1616097123102,1616097123080,22,3
1073420972,1616097123,332750,1616097123351,1616097123332,19,3
1073420972,1616097123,584750,1616097123605,1616097123584,21,2
1073420972,1616097123,836750,1616097123861,1616097123836,25,4
1073420972,1616097124,87750,1616097124106,1616097124087,19,6
1073420972,1616097124,339750,1616097124358,1616097124339,19,0
1073420972,1616097124,591750,1616097124610,1616097124591,19,0
1073420972,1616097124,843750,1616097124862,1616097124843,19,0
1073420972,1616097125,95750,1616097125114,1616097125095,19,0
1073420972,1616097125,347750,1616097125368,1616097125347,21,2
1073420972,1616097125,600750,1616097125620,1616097125600,20,1
1073420972,1616097125,852750,1616097125871,1616097125852,19,1
1073420972,1616097126,105750,1616097126124,1616097126105,19,0
1073420972,1616097126,357750,1616097126376,1616097126357,19,0
1073420972,1616097126,609750,1616097126628,1616097126609,19,0
1073420972,1616097126,861750,1616097126880,1616097126861,19,0
1073420972,1616097127,113750,1616097127132,1616097127113,19,0
1073420972,1616097127,365750,1616097127384,1616097127365,19,0
1073420972,1616097127,617750,1616097127637,1616097127617,20,1
1073420972,1616097127,869750,1616097127888,1616097127869,19,1
1073420972,1616097128,121750,1616097128140,1616097128121,19,0
1073420972,1616097128,373750,1616097128392,1616097128373,19,0
1073420972,1616097128,625753,1616097128644,1616097128625,19,0
1073420972,1616097128,877750,1616097128897,1616097128877,20,1
1073420972,1616097129,129750,1616097129148,1616097129129,19,1
1073420972,1616097129,382750,1616097129403,1616097129382,21,2
1073420972,1616097129,634750,1616097129654,1616097129634,20,1
1073420972,1616097129,886750,1616097129905,1616097129886,19,1
1073420972,1616097130,138750,1616097130157,1616097130138,19,0
1073420972,1616097130,390750,1616097130409,1616097130390,19,0
1073420972,1616097130,642750,1616097130661,1616097130642,19,0
1073420972,1616097130,894750,1616097130914,1616097130894,20,1
1073420972,1616097131,146750,1616097131166,1616097131146,20,0
1073420972,1616097131,398750,1616097131417,1616097131398,19,1
1073420972,1616097131,650750,1616097131670,1616097131650,20,1
1073420972,1616097131,902750,1616097131921,1616097131902,19,1
1073420972,1616097132,154750,1616097132175,1616097132154,21,2
