exp2/qos2_112b20ms_2.csv: 2930/2930, 2.34 ms
exp2/qos2_112b20ms_3.csv: 2929/2929, 2.29 ms
exp2/qos2_112b40ms_1.csv: 1482/1482, 2.43 ms
exp2/qos2_112b40ms_2.csv: 1482/1482, 2.78 ms
exp2/qos2_112b40ms_3.csv: 1482/1482, 2.52 ms
exp2/qos2_112b60ms_1.csv: 992/992, 2.69 ms
exp2/qos2_112b60ms_2.csv: 992/992, 2.62 ms
exp2/qos2_112b60ms_3.csv: 992/992, 2.63 ms
exp2/qos2_112b80ms_1.csv: 746/746, 2.61 ms
exp2/qos2_112b80ms_2.csv: 746/746, 2.58 ms
exp2/qos2_112b80ms_3.csv: 746/746, 2.61 ms
exp2/qos2_112b100ms_1.csv: 598/598, 2.60 ms
exp2/qos2_112b100ms_2.csv: 598/598, 2.60 ms
exp2/qos2_112b100ms_3.csv: 598/598, 2.59 ms

exp2/qos0_0b10ms_1.csv: 5744/5744, 2.02 ms
exp2/qos0_0b10ms_2.csv: 5755/5755, 2.02 ms
exp2/qos0_0b10ms_3.csv: 5755/5755, 1.98 ms
exp2/qos0_0b1000ms_1.csv: 61/61, 2.49 ms
exp2/qos0_0b1000ms_2.csv: 61/61, 3.57 ms
exp2/qos0_0b1000ms_3.csv: 61/61, 3.54 ms
exp2/qos0_0b3000ms_1.csv: 21/21, 3.33 ms
exp2/qos0_0b3000ms_2.csv: 21/21, 3.33 ms
exp2/qos0_0b3000ms_3.csv: 21/21, 2.81 ms
exp2/qos0_0b5000ms_1.csv: 13/13, 3.08 ms
exp2/qos0_0b5000ms_2.csv: 13/13, 2.46 ms
exp2/qos0_0b5000ms_3.csv: 13/13, 3.08 ms
exp2/qos1_0b10ms_1.csv: 5831/5831, 2.16 ms
exp2/qos1_0b10ms_2.csv: 5834/5834, 2.03 ms
exp2/qos1_0b10ms_3.csv: 5836/5836, 2.03 ms
exp2/qos1_0b1000ms_1.csv: 61/61, 2.80 ms
exp2/qos1_0b1000ms_2.csv: 61/61, 3.64 ms
exp2/qos1_0b1000ms_3.csv: 61/61, 3.49 ms
exp2/qos1_0b3000ms_1.csv: 21/21, 2.76 ms
exp2/qos1_0b3000ms_2.csv: 21/21, 3.62 ms
exp2/qos1_0b3000ms_3.csv: 21/21, 3.33 ms
exp2/qos1_0b5000ms_1.csv: 13/13, 3.54 ms
exp2/qos1_0b5000ms_2.csv: 13/13, 3.31 ms
exp2/qos1_0b5000ms_3.csv: 13/13, 3.15 ms
exp2/qos2_0b10ms_1.csv: 5834/5834, 2.08 ms
exp2/qos2_0b10ms_2.csv: 5837/5837, 2.04 ms
exp2/qos2_0b10ms_3.csv: 5835/5835, 2.03 ms
exp2/qos2_0b1000ms_1.csv: 61/61, 2.74 ms
exp2/qos2_0b1000ms_2.csv: 61/61, 2.61 ms
exp2/qos2_0b1000ms_3.csv: 61/61, 2.75 ms
exp2/qos2_0b3000ms_1.csv: 21/21, 2.90 ms
exp2/qos2_0b3000ms_2.csv: 21/21, 2.86 ms
exp2/qos2_0b3000ms_3.csv: 21/21, 2.67 ms
exp2/qos2_0b5000ms_1.csv: 13/13, 3.08 ms
exp2/qos2_0b5000ms_2.csv: 13/13, 2.54 ms
exp2/qos2_0b5000ms_3.csv: 13/13, 3.15 ms

exp2/qos1_112b10ms_1.csv: 5826/5826, 2.14 ms
exp2/qos1_112b10ms_2.csv: 5832/5832, 2.06 ms
exp2/qos1_112b10ms_3.csv: 5835/5835, 2.03 ms
exp2/qos1_112b1000ms_1.csv: 61/61, 2.92 ms
exp2/qos1_112b1000ms_2.csv: 61/61, 3.54 ms
exp2/qos1_112b1000ms_3.csv: 61/61, 3.48 ms
exp2/qos1_112b3000ms_1.csv: 21/21, 3.38 ms
exp2/qos1_112b3000ms_2.csv: 21/21, 3.67 ms
exp2/qos1_112b3000ms_3.csv: 21/21, 3.29 ms
exp2/qos1_112b5000ms_1.csv: 13/13, 3.62 ms
exp2/qos1_112b5000ms_2.csv: 13/13, 3.08 ms
exp2/qos1_112b5000ms_3.csv: 13/13, 3.08 ms
exp2/qos2_112b10ms_1.csv: 5837/5837, 2.08 ms
exp2/qos2_112b10ms_2.csv: 5833/5833, 2.04 ms
exp2/qos2_112b10ms_3.csv: 5828/5828, 2.03 ms
exp2/qos2_112b1000ms_1.csv: 61/61, 2.64 ms
exp2/qos2_112b1000ms_2.csv: 61/61, 2.49 ms
exp2/qos2_112b1000ms_3.csv: 61/61, 2.74 ms
exp2/qos2_112b3000ms_1.csv: 21/21, 3.05 ms
exp2/qos2_112b3000ms_2.csv: 21/21, 2.95 ms
exp2/qos2_112b3000ms_3.csv: 21/21, 2.86 ms
exp2/qos2_112b5000ms_1.csv: 13/13, 3.08 ms
exp2/qos2_112b5000ms_2.csv: 13/13, 2.92 ms
exp2/qos2_112b5000ms_3.csv: 13/13, 2.77 ms

exp2/qos0_184b10ms_1.csv: 5743/5743, 2.02 ms
exp2/qos0_184b10ms_2.csv: 5758/5758, 2.00 ms
exp2/qos0_184b10ms_3.csv: 5755/5755, 2.00 ms
exp2/qos0_184b1000ms_1.csv: 61/61, 2.39 ms
exp2/qos0_184b1000ms_2.csv: 61/61, 3.59 ms
exp2/qos0_184b1000ms_3.csv: 61/61, 3.52 ms
exp2/qos0_184b3000ms_1.csv: 21/21, 3.48 ms
exp2/qos0_184b3000ms_2.csv: 21/21, 3.05 ms
exp2/qos0_184b3000ms_3.csv: 21/21, 2.86 ms
exp2/qos0_184b5000ms_1.csv: 13/13, 3.08 ms
exp2/qos0_184b5000ms_2.csv: 13/13, 3.08 ms
exp2/qos0_184b5000ms_3.csv: 13/13, 2.92 ms
exp2/qos1_184b10ms_1.csv: 5827/5827, 2.15 ms
exp2/qos1_184b10ms_2.csv: 5837/5837, 2.06 ms
exp2/qos1_184b10ms_3.csv: 5833/5833, 2.06 ms
exp2/qos1_184b1000ms_1.csv: 61/61, 3.54 ms
exp2/qos1_184b1000ms_2.csv: 61/61, 3.61 ms
exp2/qos1_184b1000ms_3.csv: 61/61, 3.36 ms
exp2/qos1_184b3000ms_1.csv: 21/21, 3.33 ms
exp2/qos1_184b3000ms_2.csv: 21/21, 3.62 ms
exp2/qos1_184b3000ms_3.csv: 21/21, 3.10 ms
exp2/qos1_184b5000ms_1.csv: 13/13, 3.38 ms
exp2/qos1_184b5000ms_2.csv: 13/13, 3.54 ms
exp2/qos1_184b5000ms_3.csv: 13/13, 3.23 ms
exp2/qos2_184b10ms_1.csv: 5837/5837, 2.14 ms
exp2/qos2_184b10ms_2.csv: 5836/5836, 2.06 ms
exp2/qos2_184b10ms_3.csv: 5836/5836, 2.02 ms
exp2/qos2_184b1000ms_1.csv: 61/61, 2.84 ms
exp2/qos2_184b1000ms_2.csv: 61/61, 3.80 ms
exp2/qos2_184b1000ms_3.csv: 61/61, 3.74 ms
exp2/qos2_184b3000ms_1.csv: 21/21, 3.33 ms
exp2/qos2_184b3000ms_2.csv: 21/21, 3.48 ms
exp2/qos2_184b3000ms_3.csv: 21/21, 3.19 ms
exp2/qos2_184b5000ms_1.csv: 13/13, 3.23 ms
exp2/qos2_184b5000ms_2.csv: 13/13, 3.31 ms
exp2/qos2_184b5000ms_3.csv: 13/13, 3.23 ms

exp2/qos0_1024b10ms_0.csv: 5732/5732, 25.20 ms
exp2/qos0_1024b10ms_1.csv: 5763/5763, 23.57 ms
exp2/qos0_1024b10ms_2.csv: 5772/5772, 23.28 ms
exp2/qos0_1024b10ms_3.csv: 5771/5771, 23.21 ms
exp2/qos0_1024b1000ms_1.csv: 61/61, 2.54 ms
exp2/qos0_1024b1000ms_2.csv: 61/61, 3.64 ms
exp2/qos0_1024b1000ms_3.csv: 61/61, 3.44 ms
exp2/qos0_1024b3000ms_1.csv: 21/21, 3.29 ms
exp2/qos0_1024b3000ms_2.csv: 21/21, 3.48 ms
exp2/qos0_1024b3000ms_3.csv: 21/21, 3.14 ms
exp2/qos0_1024b5000ms_1.csv: 13/13, 3.38 ms
exp2/qos0_1024b5000ms_2.csv: 13/13, 3.23 ms
exp2/qos0_1024b5000ms_3.csv: 13/13, 3.38 ms
exp2/qos1_1024b10ms_1.csv: 5824/5824, 2.16 ms
exp2/qos1_1024b10ms_2.csv: 5829/5829, 2.06 ms
exp2/qos1_1024b10ms_3.csv: 5827/5827, 2.52 ms
exp2/qos1_1024b1000ms_1.csv: 61/61, 2.52 ms
exp2/qos1_1024b1000ms_2.csv: 61/61, 3.79 ms
exp2/qos1_1024b1000ms_3.csv: 61/61, 3.59 ms
exp2/qos1_1024b3000ms_1.csv: 21/21, 3.52 ms
exp2/qos1_1024b3000ms_2.csv: 21/21, 3.38 ms
