s,us,a,chegada,envio,delay_ms,jitter_ms
1616294969,421469,1234abcdefghijklmnopqrstuvwxyz,1616294969576,1616294969421,155,100
1616294969,522469,1234abcdefghijklmnopqrstuvwxyz,1616294969779,1616294969522,257,102
1616294969,623469,1234abcdefghijklmnopqrstuvwxyz,1616294969781,1616294969623,158,99
1616294969,723469,1234abcdefghijklmnopqrstuvwxyz,1616294969983,1616294969723,260,102
1616294969,824469,1234abcdefghijklmnopqrstuvwxyz,1616294969984,1616294969824,160,100
1616294969,924469,1234abcdefghijklmnopqrstuvwxyz,1616294970191,1616294969924,267,107
1616294970,25469,1234abcdefghijklmnopqrstuvwxyz,1616294970192,1616294970025,167,100
1616294970,125469,1234abcdefghijklmnopqrstuvwxyz,1616294970394,1616294970125,269,102
1616294970,226469,1234abcdefghijklmnopqrstuvwxyz,1616294970397,1616294970226,171,98
1616294970,327469,1234abcdefghijklmnopqrstuvwxyz,1616294970602,1616294970327,275,104
1616294970,428469,1234abcdefghijklmnopqrstuvwxyz,1616294970607,1616294970428,179,96
1616294970,528469,1234abcdefghijklmnopqrstuvwxyz,1616294970806,1616294970528,278,99
1616294970,629469,1234abcdefghijklmnopqrstuvwxyz,1616294970806,1616294970629,177,101
1616294970,729469,1234abcdefghijklmnopqrstuvwxyz,1616294970908,1616294970729,179,2
1616294970,830469,1234abcdefghijklmnopqrstuvwxyz,1616294970909,1616294970830,79,100
1616294970,930469,1234abcdefghijklmnopqrstuvwxyz,1616294970945,1616294970930,15,64
1616294971,31469,1234abcdefghijklmnopqrstuvwxyz,1616294971047,1616294971031,16,1
1616294971,133469,1234abcdefghijklmnopqrstuvwxyz,1616294971149,1616294971133,16,0
1616294971,235469,1234abcdefghijklmnopqrstuvwxyz,1616294971253,1616294971235,18,2
1616294971,337469,1234abcdefghijklmnopqrstuvwxyz,1616294971353,1616294971337,16,2
1616294971,439469,1234abcdefghijklmnopqrstuvwxyz,1616294971458,1616294971439,19,3
1616294971,541469,1234abcdefghijklmnopqrstuvwxyz,1616294971559,1616294971541,18,1
1616294971,643469,1234abcdefghijklmnopqrstuvwxyz,1616294971661,1616294971643,18,0
1616294971,745469,1234abcdefghijklmnopqrstuvwxyz,1616294971762,1616294971745,17,1
1616294971,847469,1234abcdefghijklmnopqrstuvwxyz,1616294971866,1616294971847,19,2
1616294971,949469,1234abcdefghijklmnopqrstuvwxyz,1616294971974,1616294971949,25,6
1616294972,51469,1234abcdefghijklmnopqrstuvwxyz,1616294972069,1616294972051,18,7
1616294972,153469,1234abcdefghijklmnopqrstuvwxyz,1616294972175,1616294972153,22,4
1616294972,255469,1234abcdefghijklmnopqrstuvwxyz,1616294972275,1616294972255,20,2
1616294972,357469,1234abcdefghijklmnopqrstuvwxyz,1616294972038,1616294972357,319,299
1616294972,459469,1234abcdefghijklmnopqrstuvwxyz,1616294972476,1616294972459,17,302
1616294972,561469,1234abcdefghijklmnopqrstuvwxyz,1616294972578,1616294972561,17,0
1616294972,663469,1234abcdefghijklmnopqrstuvwxyz,1616294972068,1616294972663,595,578
1616294972,765469,1234abcdefghijklmnopqrstuvwxyz,1616294972781,1616294972765,16,579
1616294972,867469,1234abcdefghijklmnopqrstuvwxyz,1616294972916,1616294972867,49,33
1616294972,969469,1234abcdefghijklmnopqrstuvwxyz,1616294974193,1616294972969,1224,1175
1616294973,70469,1234abcdefghijklmnopqrstuvwxyz,1616294974198,1616294973070,1128,96
1616294973,170469,1234abcdefghijklmnopqrstuvwxyz,1616294974198,1616294973170,1028,100
1616294973,270469,1234abcdefghijklmnopqrstuvwxyz,1616294974199,1616294973270,929,99
1616294973,371469,1234abcdefghijklmnopqrstuvwxyz,1616294974002,1616294973371,631,298
1616294973,471469,1234abcdefghijklmnopqrstuvwxyz,1616294974002,1616294973471,531,100
1616294973,571469,1234abcdefghijklmnopqrstuvwxyz,1616294974201,1616294973571,630,99
1616294973,671469,1234abcdefghijklmnopqrstuvwxyz,1616294974201,1616294973671,530,100
1616294973,772469,1234abcdefghijklmnopqrstuvwxyz,1616294974201,1616294973772,429,101
1616294973,872469,1234abcdefghijklmnopqrstuvwxyz,1616294974202,1616294973872,330,99
1616294973,972469,1234abcdefghijklmnopqrstuvwxyz,1616294974202,1616294973972,230,100
1616294974,72472,1234abcdefghijklmnopqrstuvwxyz,1616294974203,1616294974072,131,99
1616294974,173469,1234abcdefghijklmnopqrstuvwxyz,1616294974392,1616294974173,219,88
